ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval,202,KM.TXT,0.02632,0.00485,0.0082,1
,,,,,,
ROUGE-L+StopWordRemoval,323,KM.TXT,0.21875,0.12069,0.15556,1
,,,,,,
ROUGE-1+StopWordRemoval,323,KM.TXT,0.375,0.19048,0.25263,1
,,,,,,
ROUGE-2+StopWordRemoval,323,KM.TXT,0.16667,0.08065,0.1087,1
,,,,,,
ROUGE-L+StopWordRemoval,444,KM.TXT,0.29412,0.13514,0.18519,1
,,,,,,
ROUGE-1+StopWordRemoval,444,KM.TXT,0.54286,0.20652,0.29921,1
,,,,,,
ROUGE-2+StopWordRemoval,444,KM.TXT,0.27273,0.0989,0.14516,1
,,,,,,
ROUGE-L+StopWordRemoval,203,KM.TXT,0.2,0.04762,0.07692,1
,,,,,,
ROUGE-1+StopWordRemoval,203,KM.TXT,0.41379,0.0916,0.15,1
,,,,,,
ROUGE-2+StopWordRemoval,203,KM.TXT,0.18519,0.03846,0.06369,1
,,,,,,
ROUGE-L+StopWordRemoval,324,KM.TXT,0.19608,0.10989,0.14085,1
,,,,,,
ROUGE-1+StopWordRemoval,324,KM.TXT,0.45455,0.2193,0.29586,1
,,,,,,
ROUGE-2+StopWordRemoval,324,KM.TXT,0.20755,0.09735,0.13253,1
,,,,,,
ROUGE-L+StopWordRemoval,445,KM.TXT,0.09375,0.08571,0.08955,1
,,,,,,
ROUGE-1+StopWordRemoval,445,KM.TXT,0.21212,0.16279,0.18421,1
,,,,,,
ROUGE-2+StopWordRemoval,445,KM.TXT,0.03226,0.025,0.02817,1
,,,,,,
ROUGE-L+StopWordRemoval,204,KM.TXT,0.11429,0.06557,0.08333,1
,,,,,,
ROUGE-1+StopWordRemoval,204,KM.TXT,0.24324,0.12329,0.16364,1
,,,,,,
ROUGE-2+StopWordRemoval,204,KM.TXT,0.02857,0.01389,0.01869,1
,,,,,,
ROUGE-L+StopWordRemoval,325,KM.TXT,0.21212,0.08235,0.11864,1
,,,,,,
ROUGE-1+StopWordRemoval,325,KM.TXT,0.33333,0.11,0.16541,1
,,,,,,
ROUGE-2+StopWordRemoval,325,KM.TXT,0.16129,0.05051,0.07692,1
,,,,,,
ROUGE-L+StopWordRemoval,446,KM.TXT,0.30612,0.15464,0.20548,1
,,,,,,
ROUGE-1+StopWordRemoval,446,KM.TXT,0.54902,0.20588,0.29947,1
,,,,,,
ROUGE-2+StopWordRemoval,446,KM.TXT,0.26531,0.0963,0.1413,1
,,,,,,
ROUGE-L+StopWordRemoval,205,KM.TXT,0.11111,0.03488,0.0531,1
,,,,,,
ROUGE-1+StopWordRemoval,205,KM.TXT,0.24138,0.06481,0.10219,1
,,,,,,
ROUGE-2+StopWordRemoval,205,KM.TXT,0.07407,0.01869,0.02985,1
,,,,,,
ROUGE-L+StopWordRemoval,326,KM.TXT,0.16,0.0678,0.09524,1
,,,,,,
ROUGE-1+StopWordRemoval,326,KM.TXT,0.24,0.09231,0.13333,1
,,,,,,
ROUGE-2+StopWordRemoval,326,KM.TXT,0,0,0,1
,,,,,,
ROUGE-L+StopWordRemoval,447,KM.TXT,0.22857,0.08081,0.1194,1
,,,,,,
ROUGE-1+StopWordRemoval,447,KM.TXT,0.37143,0.10656,0.16561,1
,,,,,,
ROUGE-2+StopWordRemoval,447,KM.TXT,0.12121,0.03306,0.05195,1
,,,,,,
ROUGE-L+StopWordRemoval,206,KM.TXT,0.2973,0.18966,0.23158,1
,,,,,,
ROUGE-1+StopWordRemoval,206,KM.TXT,0.47619,0.26316,0.33898,1
,,,,,,
